特征类别,特征名称,模型,模型类别,特征描述
NLP特征,语义连贯性评分,ASR模型+BERT嵌入模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,相邻语句的BERT嵌入向量余弦相似度均值
NLP特征,避答策略指数,ASR模型+对话状态跟踪模型,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,分析敏感问题后静默/转移话题次数，对抗话术逃避检测
NLP特征,多头借贷话术标记,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,用户上来就问非我司业务，要么是多头借贷，要么是黑产，正常人不会问错
NLP特征,紧急程度操纵信号,ASR模型+关键词位置分析,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,分析"今天必须""马上到账"等短语出现位置，制造虚假紧迫感
NLP特征,反催收话术预热,ASR模型+关键词统计,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,统计"投诉""暴力催收"等词的提前使用，为后续逃废债铺垫
NLP特征,具体还款时间承诺,ASR模型+时间实体识别,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,解析"明天/下周/月底"等具体时间承诺表述
NLP特征,模糊时间表述识别,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,识别"尽快/最近/有钱就还"等模糊时间表述
NLP特征,时间拖延信号捕获,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,捕获"再等等/过几天看看"等时间拖延信号
NLP特征,代他人咨询识别,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,识别"帮朋友问/替家人办"等代他人咨询表述
NLP特征,担保关系表述提取,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,提取"我给他担保/他是我保证人"等担保关系表述
NLP特征,收入来源描述解析,ASR模型+实体识别,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,解析"工资/生意/投资收益"等收入来源描述
NLP特征,支出压力表述识别,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,识别"房贷/医疗费/孩子学费"等支出压力表述
NLP特征,资产状况暗示捕获,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,捕获"有房/有车/有存款"等资产状况暗示
NLP特征,受害者话术检测,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,检测"被骗了/不知情/有人冒用"等受害者话术
NLP特征,拖延话术识别,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,识别"在处理/联系律师/准备材料"等拖延话术
NLP特征,威胁话术捕获,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,捕获"要曝光/找媒体/投诉银保监"等威胁话术
NLP特征,愤怒程度递增测量,ASR模型+情感分析模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,测量"不满→生气→愤怒→暴怒"的愤怒程度递增
NLP特征,焦虑情绪波动跟踪,ASR模型+情感分析模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,跟踪"担心→紧张→恐慌→绝望"的焦虑情绪波动
NLP特征,满意度下降监控,ASR模型+情感分析模型,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,监控"理解→疑惑→不满→投诉"的满意度下降
NLP特征,事件描述差异验证,ASR模型+语义一致性检测,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,验证"借款原因/还款计划变化"等事件描述差异
NLP特征,态度转变异常识别,ASR模型+对话状态跟踪,第四类：需要部署模型且业界方案不成熟（需定制开发 / 研究前沿方向）,识别"配合→抗拒→配合"的态度转变异常反复
NLP特征,拒不承认非本人,ASR模型+关键词匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,客服已经感觉到非本人了，依然强调是本人
NLP特征,伪造政策检测,ASR模型+政策知识库匹配,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,强行伪造一些不存在的政策恐吓客服
环境特征,背景音类型,环境音分类模型,第二类：需要部署低参数量小模型（<10MB 轻量级模型 / 传统机器学习）,环境音分类，如马路，家里，坐席背景音(欺诈可能性极大)
环境特征,背景噪声指纹,音频指纹识别,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,背景音类型的更复杂的提取
设备特征,麦克风特征,设备指纹识别,第三类：需要部署模型且业界方案成熟（主流预训练模型可直接迁移）,麦克风的好坏，录音可能被压缩丢失。
设备特征,手机品牌,设备指纹识别,第一类：完全不需要部署模型（基于信号处理 / 统计方法即可实现）,同上，属于非声音特征。
联合特征,声纹-语义冲突,特征衍生,\,身份与话术匹配度(举例：低学历人才精通法律)
联合特征,情绪-文本冲突,特征衍生,\,语音情绪vs文本情感
联合特征,麦克风-手机品牌冲突,特征衍生,\,手机品牌很差但是麦克风特别好
联合特征,方言-户籍地冲突,特征衍生,\,XLSR-53方言模型，声称北京户籍但带广东口音
